Study,Subject,Group,Session,Metric,Metric_value,State
SRM,025,SRM,t1,bad_by_correlation,0,after_interpolation
SRM,026,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,026,SRM,t2,bad_by_dropout,0,after_interpolation
SRM,027,SRM,t1,bad_by_ransac,0,after_interpolation
SRM,027,SRM,t2,bad_all,0,after_interpolation
SRM,028,SRM,t1,bad_by_nan,0,original
SRM,028,SRM,t2,bad_by_flat,0,original
SRM,029,SRM,t1,bad_by_deviation,0,original
SRM,030,SRM,t1,bad_by_hf_noise,4,original
SRM,030,SRM,t2,bad_by_correlation,2,original
SRM,031,SRM,t1,bad_by_SNR,0,original
SRM,032,SRM,t1,bad_by_dropout,0,original
SRM,032,SRM,t2,bad_by_ransac,0,original
SRM,033,SRM,t1,bad_all,6,original
SRM,034,SRM,t1,bad_by_nan,0,before_interpolation
SRM,035,SRM,t1,bad_by_flat,0,before_interpolation
SRM,036,SRM,t1,bad_by_deviation,0,before_interpolation
SRM,037,SRM,t1,bad_by_hf_noise,4,before_interpolation
SRM,038,SRM,t1,bad_by_correlation,2,before_interpolation
SRM,038,SRM,t2,bad_by_SNR,0,before_interpolation
SRM,039,SRM,t1,bad_by_dropout,0,before_interpolation
SRM,040,SRM,t1,bad_by_ransac,1,before_interpolation
SRM,041,SRM,t1,bad_all,6,before_interpolation
SRM,042,SRM,t1,bad_by_nan,0,after_interpolation
SRM,042,SRM,t2,bad_by_flat,0,after_interpolation
SRM,043,SRM,t1,bad_by_deviation,0,after_interpolation
SRM,043,SRM,t2,bad_by_hf_noise,0,after_interpolation
SRM,044,SRM,t1,bad_by_correlation,0,after_interpolation
SRM,045,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,046,SRM,t1,bad_by_dropout,0,after_interpolation
SRM,046,SRM,t2,bad_by_ransac,0,after_interpolation
SRM,047,SRM,t1,bad_all,0,after_interpolation
SRM,047,SRM,t2,bad_by_nan,0,original
SRM,048,SRM,t1,bad_by_flat,0,original
SRM,048,SRM,t2,bad_by_deviation,2,original
SRM,049,SRM,t1,bad_by_hf_noise,4,original
SRM,050,SRM,t1,bad_by_correlation,6,original
SRM,051,SRM,t1,bad_by_SNR,0,original
SRM,051,SRM,t2,bad_by_dropout,0,original
SRM,052,SRM,t1,bad_by_ransac,1,original
SRM,053,SRM,t1,bad_all,11,original
SRM,054,SRM,t1,bad_by_nan,0,before_interpolation
SRM,055,SRM,t1,bad_by_flat,0,before_interpolation
SRM,056,SRM,t1,bad_by_deviation,2,before_interpolation
SRM,057,SRM,t1,bad_by_hf_noise,4,before_interpolation
SRM,058,SRM,t1,bad_by_correlation,6,before_interpolation
SRM,058,SRM,t2,bad_by_SNR,0,before_interpolation
SRM,059,SRM,t1,bad_by_dropout,0,before_interpolation
SRM,060,SRM,t1,bad_by_ransac,1,before_interpolation
SRM,060,SRM,t2,bad_all,11,before_interpolation
SRM,061,SRM,t1,bad_by_nan,0,after_interpolation
SRM,062,SRM,t1,bad_by_flat,0,after_interpolation
SRM,063,SRM,t1,bad_by_deviation,0,after_interpolation
SRM,064,SRM,t1,bad_by_hf_noise,0,after_interpolation
SRM,064,SRM,t2,bad_by_correlation,1,after_interpolation
SRM,065,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,066,SRM,t1,bad_by_dropout,0,after_interpolation
SRM,067,SRM,t1,bad_by_ransac,0,after_interpolation
SRM,068,SRM,t1,bad_all,1,after_interpolation
SRM,068,SRM,t2,bad_by_nan,0,original
SRM,069,SRM,t1,bad_by_flat,0,original
SRM,069,SRM,t2,bad_by_deviation,0,original
SRM,070,SRM,t1,bad_by_hf_noise,0,original
SRM,070,SRM,t2,bad_by_correlation,1,original
SRM,071,SRM,t1,bad_by_SNR,0,original
SRM,071,SRM,t2,bad_by_dropout,0,original
SRM,072,SRM,t1,bad_by_ransac,2,original
SRM,073,SRM,t1,bad_all,3,original
SRM,074,SRM,t1,bad_by_nan,0,before_interpolation
SRM,074,SRM,t2,bad_by_flat,0,before_interpolation
SRM,075,SRM,t1,bad_by_deviation,0,before_interpolation
SRM,075,SRM,t2,bad_by_hf_noise,0,before_interpolation
SRM,076,SRM,t1,bad_by_correlation,1,before_interpolation
SRM,076,SRM,t2,bad_by_SNR,0,before_interpolation
SRM,077,SRM,t1,bad_by_dropout,0,before_interpolation
SRM,077,SRM,t2,bad_by_ransac,2,before_interpolation
